,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
0,Mary is baking a cake . The recipe wants number0 cups of flour . She already put in number1 cups . How many cups does she need to add ?,8.0 2.0,- number0 number1,6.0,"[8, 9, 10, 17, 18, 19, 26, 27, 28]",,,Mary is baking a cake . The recipe wants number0 cups of flour . She already put in number1 cups .,,,How many cups does she need to add ?
1,There are number0 erasers and number1 scissors in the drawer . Jason placed number2 erasers in the drawer . How many erasers are now there in total ?,139.0 118.0 131.0,+ number0 number2,270.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",,,There are number0 erasers and number1 scissors in the drawer . Jason placed number2 erasers in the drawer .,,,How many erasers are now there in total ?
2,One pencil weighs number0 grams . How much do number1 pencils weigh ?,28.3 5.0,* number0 number1,141.5,"[2, 3, 4, 8, 9, 10, 9, 10, 11]",,,One pencil weighs number0 grams .,,,How much do number1 pencils weigh ?
3,Zoe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens . How many pieces of winter clothing did Zoe have total ?,8.0 4.0 6.0,* number0 + number1 number2,80.0,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",,,Zoe was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,,,How many pieces of winter clothing did Zoe have total ?
4,"Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes . How many cantelopes did they grow in total ?",29.0 16.0 20.0,+ + number0 number1 number2,65.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16, 23, 24, 25]",,,"Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes .",,,How many cantelopes did they grow in total ?
5,"Ashley sold number0 boxes of Samoas . How many cases of number1 boxes , plus extra boxes does Ashley need ?",12.0 12.0,/ number0 number0,1.0,"[1, 2, 3, 10, 11, 12, 17, 18, 19]",,,Ashley sold number0 boxes of Samoas .,,,"How many cases of number1 boxes , plus extra boxes does Ashley need ?"
6,Adam has number0 blocks . Ann has with number1 blocks . Ann finds another number2 . How many blocks does Ann end with ?,13.0 9.0 44.0,+ number1 number2,53.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 20, 21, 22]",,,Adam has number0 blocks . Ann has with number1 blocks . Ann finds another number2 .,,,How many blocks does Ann end with ?
7,"Katie picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though , how many extra flowers did Katie pick ?",3.0 9.0 10.0,- + number0 number1 number2,2.0,"[1, 2, 3, 4, 5, 6, 15, 16, 17, 26, 27, 28]",,,"Katie picked number0 tulips and number1 roses to make flower bouquets . If she only used number2 of the flowers though ,",,,how many extra flowers did Katie pick ?
8,Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long . How much longer was the white line than the blue line ?,7.666666666666667 3.3333333333333335,- number0 number1,4.333333333333333,"[6, 7, 8, 18, 19, 20, 31, 32, 33]",,,Ezra drew a white line that was number0 inches long . Then he drew a blue line that was number1 inches long .,,,How much longer was the white line than the blue line ?
9,Lisa flew number0 miles at number1 miles per hour . How long did Lisa fly ?,256.0 32.0,/ number0 number1,8.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",,,Lisa flew number0 miles at number1 miles per hour .,,,How long did Lisa fly ?
